training_data_path;omit_saturated_values;batch_size;patience;num_iterations_per_config;layer_configuration;trainable_count;non_trainable_count;loss;mean_absolute_error;trained_epochs
./Training_Data/ideal_dchg.csv;True;64;5;3;[16, 16, 1];337;0.0;[41.023860931396484, 4115.90283203125, 2.181149482727051];[4.32295560836792, 57.34453582763672, 0.7808625102043152];[113, 6, 249]
./Training_Data/ideal_dchg.csv;True;64;5;3;[14, 14, 1];267;0.0;[54.50701904296875, 2.0444705486297607, 3.10903263092041];[4.8386311531066895, 0.8342356085777283, 1.2369211912155151];[55, 259, 170]
./Training_Data/ideal_dchg.csv;True;64;5;3;[12, 12, 1];205;0.0;[40.93678283691406, 4115.90283203125, 10.52552604675293];[4.297688961029053, 57.34453582763672, 2.029026985168457];[79, 6, 167]
./Training_Data/ideal_dchg.csv;True;64;5;3;[10, 10, 1];151;0.0;[2.7059290409088135, 9.882089614868164, 4115.90283203125];[1.0068095922470093, 1.9536398649215698, 57.34453582763672];[317, 185, 7]
./Training_Data/ideal_dchg.csv;True;64;5;3;[16, 16, 16, 1];609;0.0;[0.8883872628211975, 3.3723881244659424, 1.6053547859191895];[0.5539829134941101, 1.0967485904693604, 0.761421799659729];[132, 144, 121]
./Training_Data/ideal_dchg.csv;True;64;5;3;[16, 12, 8, 1];365;0.0;[0.7948678731918335, 2.432832956314087, 4115.90283203125];[0.5644176602363586, 1.0093435049057007, 57.34453582763672];[161, 184, 14]
./Training_Data/ideal_dchg.csv;True;64;5;3;[16, 10, 6, 1];291;0.0;[4115.90283203125, 3.9622642993927, 4115.90283203125];[57.34453582763672, 1.3242113590240479, 57.34453582763672];[9, 149, 10]
./Training_Data/ideal_dchg.csv;True;64;5;3;[16, 8, 4, 1];225;0.0;[4115.90283203125, 3.6655051708221436, 4115.90283203125];[57.34453582763672, 1.1122767925262451, 57.34453582763672];[14, 123, 10]
./Training_Data/ideal_dchg.csv;True;64;5;3;[14, 8, 4, 1];203;0.0;[2.4240124225616455, 4115.90283203125, 4115.90283203125];[0.976908802986145, 57.34453582763672, 57.34453582763672];[129, 6, 6]
./Training_Data/ideal_dchg.csv;True;64;5;3;[14, 6, 4, 1];165;0.0;[2.918248414993286, 163.53887939453125, 1.7391222715377808];[1.0035326480865479, 9.14103889465332, 0.8402222990989685];[343, 19, 233]
./Training_Data/ideal_dchg.csv;True;64;5;3;[12, 6, 4, 1];147;0.0;[3.186415195465088, 40.19070053100586, 4115.90283203125];[1.0057426691055298, 4.283929347991943, 57.34453582763672];[114, 98, 10]
./Training_Data/ideal_dchg.csv;True;64;5;3;[8, 8, 8, 1];177;0.0;[4.352311611175537, 4115.90283203125, 1.620021939277649];[1.2646406888961792, 57.34453582763672, 0.7206853032112122];[178, 12, 126]
./Training_Data/ideal_dchg.csv;True;64;5;3;[8, 6, 4, 1];111;0.0;[3.5409908294677734, 4115.90283203125, 54.31557083129883];[1.1922835111618042, 57.34453582763672, 4.903626441955566];[201, 6, 60]
./Training_Data/ideal_dchg.csv;True;64;5;3;[8, 4, 2, 1];73;0.0;[163.43748474121094, 4115.90283203125, 3.7831051349639893];[9.184990882873535, 57.34453582763672, 1.2040207386016846];[26, 13, 294]
./Training_Data/ideal_dchg.csv;True;64;5;3;[8, 8, 1];105;0.0;[43.36212158203125, 2.810655117034912, 43.36461639404297];[4.4133501052856445, 1.0225657224655151, 4.397193908691406];[117, 287, 92]
