training_data_path;omit_saturated_values;batch_size;num_epochs;early_stopping;patience;num_iterations_per_config;leaky_relu;layer_configuration;trainable_count;non_trainable_count;loss;mean_absolute_error;trained_epochs;min_loss;min_mean_absolute_error;max_trained_epochs
../TrainingData/ideal_dchg.csv;True;64;500;False;8;3;True;[16, 16, 1];337;0.0;[0.8262360095977783, 1.5479522943496704, 0.9791463017463684];[0.5184956789016724, 0.7359839677810669, 0.7075544595718384];[500, 500, 500];0.8262360095977783;0.5184956789016724;500
../TrainingData/ideal_dchg.csv;True;64;500;False;8;3;True;[14, 14, 1];267;0.0;[3.3570973873138428, 1.1102166175842285, 3.5728304386138916];[1.1027700901031494, 0.6097805500030518, 1.151262879371643];[500, 500, 500];1.1102166175842285;0.6097805500030518;500
../TrainingData/ideal_dchg.csv;True;64;500;False;8;3;True;[12, 12, 1];205;0.0;[1.120488166809082, 3.0312447547912598, 12.470026016235352];[0.6246210336685181, 1.0559495687484741, 2.22198748588562];[500, 500, 500];1.120488166809082;0.6246210336685181;500
../TrainingData/ideal_dchg.csv;True;64;500;False;8;3;True;[10, 10, 1];151;0.0;[12.35898208618164, 4.756705284118652, 3.630437135696411];[2.208545207977295, 1.4104243516921997, 1.1619713306427002];[500, 500, 500];3.630437135696411;1.1619713306427002;500
../TrainingData/ideal_dchg.csv;True;64;500;False;8;3;True;[16, 10, 6, 1];291;0.0;[1.1524453163146973, 0.662826657295227, 1.2079492807388306];[0.7131512761116028, 0.5391705632209778, 0.6798219680786133];[500, 500, 500];0.662826657295227;0.5391705632209778;500
../TrainingData/ideal_dchg.csv;True;64;500;False;8;3;True;[16, 8, 4, 1];225;0.0;[1.445544958114624, 40.01875305175781, 0.7355014681816101];[0.8016444444656372, 4.338671684265137, 0.527346134185791];[500, 500, 500];0.7355014681816101;0.527346134185791;500
../TrainingData/ideal_dchg.csv;True;64;500;False;8;3;True;[14, 8, 4, 1];203;0.0;[1.6409990787506104, 39.92094039916992, 3.961822986602783];[0.8132473230361938, 4.274934768676758, 1.145641803741455];[500, 500, 500];1.6409990787506104;0.8132473230361938;500
../TrainingData/ideal_dchg.csv;True;64;500;False;8;3;True;[14, 6, 4, 1];165;0.0;[0.6939926743507385, 1.204785943031311, 39.61336135864258];[0.5523088574409485, 0.7246735692024231, 4.264060974121094];[500, 500, 500];0.6939926743507385;0.5523088574409485;500
../TrainingData/ideal_dchg.csv;True;64;500;False;8;3;True;[12, 6, 4, 1];147;0.0;[0.9380542635917664, 1.6427710056304932, 1.5287193059921265];[0.6293724179267883, 0.7947458624839783, 0.8336992859840393];[500, 500, 500];0.9380542635917664;0.6293724179267883;500
../TrainingData/ideal_dchg.csv;True;64;500;False;8;3;True;[8, 8, 8, 1];177;0.0;[1.0428962707519531, 0.9395793080329895, 1.6952917575836182];[0.6203979849815369, 0.6428130865097046, 0.8051781058311462];[500, 500, 500];0.9395793080329895;0.6203979849815369;500
../TrainingData/ideal_dchg.csv;True;64;500;False;8;3;True;[8, 6, 4, 1];111;0.0;[7.05267333984375, 40.51536178588867, 3.464766025543213];[1.7363590002059937, 4.257624626159668, 1.2099604606628418];[500, 500, 500];3.464766025543213;1.2099604606628418;500
../TrainingData/ideal_dchg.csv;True;64;500;False;8;3;True;[8, 4, 2, 1];73;0.0;[54.231361389160156, 4.214649677276611, 4.049386501312256];[4.882510662078857, 1.3033288717269897, 1.318122148513794];[500, 500, 500];4.049386501312256;1.3033288717269897;500
../TrainingData/ideal_dchg.csv;True;64;500;False;8;3;True;[8, 8, 1];105;0.0;[10.576931953430176, 12.434496879577637, 43.29958724975586];[2.014275074005127, 2.217977285385132, 4.437805652618408];[500, 500, 500];10.576931953430176;2.014275074005127;500
